Tweet Id	Text	Name	Screen Name	UTC	Created At	Favorites	Retweets	Language	Client	Tweet Type	URLs	Hashtags	Mentions	Media Type	Media URLs			
1327721476695470082	Are you having feelings of depression that make you want to smoke? You can call 1-800-QUIT-NOW to talk to a trained coach and get help quitting for free. https://t.co/R3t7v2QLUh	CDC	CDCgov	2020-11-14T21:14:02.000Z	Sat Nov 14 21:14:02 +0000 2020	61	20	en	"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"	Tweet		0	0	photo	https://pbs.twimg.com/media/Em0DpUFWEAoScE0.jpg			
1327688009714720775	CDC’s new webpage has information on women who had #COVID19 during pregnancy and their infants—it presents data on preterm births, delivery type, and infant test results. Learn more: https://t.co/8v9iC9kx9f. https://t.co/mz2Ahg8Vg8	CDC	CDCgov	2020-11-14T19:01:03.000Z	Sat Nov 14 19:01:03 +0000 2020	100	43	en	"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"	Tweet	https://bit.ly/3luGYjU 	1	0	photo	https://pbs.twimg.com/media/EmzlNQ-WEAAH_MN.jpg			
1327371914004766720	More than 194,000 #COVID19 cases identified yesterday. We must get the pandemic under control. Do your part to slow the spread &amp; save lives. #WearAMask. Cover mouth AND nose. Stay 6 feet from others. Wash your hands. Stay home if you can. Get the facts: https://t.co/DmfPOB7nbu. https://t.co/52Gy7VQMVl	CDC	CDCgov	2020-11-13T22:05:00.000Z	Fri Nov 13 22:05:00 +0000 2020	382	209	en	"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"	Tweet	https://bit.ly/3bGvO6p 	2	0	video	https://video.twimg.com/amplify_video/1291741980503027713/vid/640x360/V2NYbm3lKw7Hqc0g.mp4?tag=13			
1327362105419423744	The latest CDC #COVIDView report shows all the indicators used to track #COVID19 activity have been increasing nationally in the United States since the beginning of October. Learn more: https://t.co/zP4VYlo0Pb. https://t.co/PLIEpUcJo1	CDC	CDCgov	2020-11-13T21:26:01.000Z	Fri Nov 13 21:26:01 +0000 2020	108	58	en	"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"	Tweet	https://bit.ly/2ViFflZ 	2	0	photo	https://pbs.twimg.com/media/Emu8zMfXMAMomTe.jpg			
1327347007145521152	Join CDC &amp; our global partners for a Twitter Storm on Wed, 11/18 from 9-10 AM EST. Use #AntibioticResistance to spread the word about abx resistance &amp; appropriate prescribing &amp; use. See CDC’s #BeAntibioticsAware partner toolkit for sample posts: https://t.co/2DSAWKYwkj. #USAAW20 https://t.co/LnLuwvK28x	CDC	CDCgov	2020-11-13T20:26:02.000Z	Fri Nov 13 20:26:02 +0000 2020	55	21	en	"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"	Tweet	http://bit.ly/35zqDmq 	3	0	photo	https://pbs.twimg.com/media/EmuvEWPXUAAXyU_.jpg			
1327341692832403456	Although the % of ER visits for children’s mental health was higher during COVID-19, this % could've been affected by an overall decrease in ER visits. Monitoring, promoting coping &amp; resilience, &amp; expanding mental healthcare are key.	CDC	CDCgov	2020-11-13T20:04:55.000Z	Fri Nov 13 20:04:55 +0000 2020	60	11	en	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	Reply		0	0					
1327328839471607809	"JUST WEAR THE MASK. Cover your mouth AND nose. Stay 6 feet from others. Wash your hands. Stay home if you can. #COVID19 cases are rising fast. If we don’t act together and do what we can to slow the spread, thousands more could die.

Get the facts: https://t.co/DmfPOAPMjW. https://t.co/i6ggvfcnBD"	CDC	CDCgov	2020-11-13T19:13:50.000Z	Fri Nov 13 19:13:50 +0000 2020	2465	1281	en	"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>"	Tweet	https://bit.ly/3bGvO6p 	1	0	video	https://video.twimg.com/amplify_video/1317114973617872899/vid/640x360/xXHZZF9R2h-9II85.mp4?tag=13			
1327319333660450816	"As of November 9, national forecasts predict that 5,500 to 13,400 new #COVID19 deaths will be reported during the week ending December 5. These forecasts predict 260,000 to 282,000 total COVID-19 deaths in the United States by December 5. 
More: https://t.co/Ft6cgmaMPX. https://t.co/sxhVJx1Hho"	CDC	CDCgov	2020-11-13T18:36:04.000Z	Fri Nov 13 18:36:04 +0000 2020	153	148	en	"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"	Tweet	https://bit.ly/3cKQIl4 	1	0	photo	https://pbs.twimg.com/media/EmuV5i8XYAAx1AC.jpg			
1327310791838732290	While there is not yet an authorized or approved vaccine to prevent #COVID19 in the U.S., CDC is focused on #vaccine planning and working closely with health departments and partners to prepare. Learn more about CDC’s plans: https://t.co/AKnOrVkuRI. https://t.co/vIdUJjJYlS	CDC	CDCgov	2020-11-13T18:02:07.000Z	Fri Nov 13 18:02:07 +0000 2020	111	41	en	"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"	Tweet	https://bit.ly/3ppRU4H 	2	0	photo	https://pbs.twimg.com/media/EmuOIXNXMAE_4Id.jpg			
1327299196660162561	Well-child visits and vaccinations are essential to protect children. Learn more about protecting your child with routine vaccines. #VaccinesWork https://t.co/a5FPFi9FHd https://t.co/W3UckTtVAI	CDC	CDCgov	2020-11-13T17:16:03.000Z	Fri Nov 13 17:16:03 +0000 2020	143	60	en	"<a href=""https://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>"	Tweet	https://bit.ly/3eVE9WB 	1	0	photo	https://pbs.twimg.com/media/EmuDlWMW4AE-cG9.jpg			
