Tweet Id	Text	Name	Screen Name	UTC	Created At	Favorites	Retweets	Language	Client	Tweet Type	URLs	Hashtags	Mentions	Media Type	Media URLs			
1327686486683226112	RT @ErnestScheyder : Nevada’s governor tests positive for #COVID19 https://t.co/l4dN3bh6rx	Diane Eugenio	DianeEugenio	2020-11-14T18:55:00.000Z	Sat Nov 14 18:55:00 +0000 2020	0	0	en	"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"	Retweet	https://twitter.com/usatoday/status/1327684976599572481 	1	0					
1327686484250431489	RT @DrEricDing : 📍El Paso, TX is so understaffed they are using inmates to help move deceased #COVID19 patients to the mobile overflow morgues. https://t.co/4KRXYBCdWo	Lady Farmer 😷👒	djmincey11	2020-11-14T18:54:59.000Z	Sat Nov 14 18:54:59 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Retweet		1	0	photo	https://pbs.twimg.com/media/EmyU7mlXEAEp3ko.jpg	https://pbs.twimg.com/media/EmyU7nYWMAERkIz.jpg		
1327686482115477504	"RT @COVIDNewsByMIB : 📢#CoronaVirusUpdates:

📍#COVID19 India Tracker
(As on 14 November, 2020, 08:00 AM)

➡️Confirmed cases: 87,73,479
➡️Recovered: 81,63,572 (93.05%)👍 
➡️Active cases: 4,80,719 (5.48%)
➡️Deaths: 1,29,188 (1.47%)

#IndiaFightsCorona
#Unite2FightCorona
#StaySafe 

Via @MoHFW_INDIA https://t.co/OH2N8NLevU"	Kamal Vas Giri	VasGiri	2020-11-14T18:54:59.000Z	Sat Nov 14 18:54:59 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Retweet		5	1	photo	https://pbs.twimg.com/media/EmwlGuzUwAULb_i.jpg			
1327686480039436289	"RT @ACNURamericas : Seguimos trabajando por la salud de refugiados y comunidades de acogida en la frontera entre #Colombia y #Venezuela.

Ampliamos capacidad del principal hospital de Cúcuta con área de atención para 72 pacientes con síntomas y 36 en estado crítico por #COVID19. https://t.co/BZti5rrVVQ"	Venezolano	edixonhc	2020-11-14T18:54:58.000Z	Sat Nov 14 18:54:58 +0000 2020	0	0	es	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Retweet		3	0	photo	https://pbs.twimg.com/media/EmtWxQiW4AAtg2z.jpg	https://pbs.twimg.com/media/EmtWxS5XMAYlDnR.jpg	https://pbs.twimg.com/media/EmtWxQoXUAAWCD4.jpg	https://pbs.twimg.com/media/EmtWxSFXMAMo1Zl.jpg
1327686479821344775	"RT @21WIRE : What we have witnessed over the last 9 months has been a highly coordinated (and hugely profitable for the top stakeholders) internationalized fraud.... 
#COVID19 #Lockdown #Pandemic
https://t.co/VQnnlG5YBZ"	P McCabe	PeterMcC66	2020-11-14T18:54:58.000Z	Sat Nov 14 18:54:58 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Retweet	https://21stcenturywire.com/2020/11/12/professor-fuellmich-takes-government-and-who-to-court-over-covid/ 	3	0					
1327686478969794560	"RT @bkives : Manitoba announced 239 new cases of #COVID19 and a record 15 deaths on Saturday, Nov. 14, 2020.
 
Active cases: 6,410*
Total caseload: 10,453
Recovered: 3,891
Deaths: 153
 
*Inflated due to data-entry backlog"	John Martynuk	JMartynuk	2020-11-14T18:54:58.000Z	Sat Nov 14 18:54:58 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Retweet		1	0					
1327686478303006722	"""Darkness cannot drive out darkness:only light can do that.Hate cannot drive out hate:only love can do that""~Martin Luther King Jr.Have a Happy Deepavali. #Celebration #Fall #Deepavali #COVID19 #CoronaVirus #journey #Nature #ClimateChange #WeatherPatterns #Trees #Flowers #Music https://t.co/BrqT6quh9W"	DushiYanthini	DushiYanthini	2020-11-14T18:54:58.000Z	Sat Nov 14 18:54:58 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Tweet		12	0	photo	https://pbs.twimg.com/media/EmzjUGlWEAANcBW.jpg			
1327686477237587972	"Who will make the first effective #vaccine against #COVID19? 

#NorthAmerican
#CovidVaccine 
#VaccinesWork 
#USA
#Russia
#Germany
#China 
#twitterpoll"	The North American	NorthIndex	2020-11-14T18:54:58.000Z	Sat Nov 14 18:54:58 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Tweet		10	0					
1327686476444864518	RT @AZDHS : At 9.3%, the percent positivity in the last week was the highest it has been since the end of July, indicating increased community spread of #COVID19. Visit https://t.co/jI4j8Ni9Xq for more detailed information on #COVID19 trends in Arizona. #MaskUpAZ https://t.co/xwUDoxakAO	Nicki Escudero 🏀	nickialanoche	2020-11-14T18:54:57.000Z	Sat Nov 14 18:54:57 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Retweet	https://1.azdhs.gov/2K3iwYZ 	3	0	photo	https://pbs.twimg.com/media/EmzXPgMXIAExemt.png			
1327686472619741185	"RT @BPSOfficial : “There is a pressure as others view psychologists as people who should be able to cope, but psychologists are vulnerable to stress too.” 

We explore the impact of #Covid19 on the wellbeing of psychologists in our new report.

https://t.co/3M4PbdRLow https://t.co/zmUrKMTSpb"	Helen Griffiths	DrHCGriffiths	2020-11-14T18:54:56.000Z	Sat Nov 14 18:54:56 +0000 2020	0	0	en	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	Retweet	http://ow.ly/l2OU50CjHo5 	1	0	photo	https://pbs.twimg.com/media/EmxpdEnWEAA8f81.jpg			
1327686471839608832	"RT @JafriUme : Symptoms of infection for the COVID19 are often similar to those of other respiratory virus infections, such as influenza. Symptoms can include:
Fever or chills
Cough
Shortness of breath or difficulty breathing
Fatigue
Headache
#2ndWaveOfCovid
#TeamValiantOfPakistan https://t.co/vOP6v2wbgv"	میں ہوں پاکستان	SabazHalaali	2020-11-14T18:54:56.000Z	Sat Nov 14 18:54:56 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Retweet		2	0	photo	https://pbs.twimg.com/media/EmxyNQqXEAAhMH7.jpg			
1327686470602092544	RT @DrEricDing : 📍DON’T CHASE SWEDISH HERD STRATEGY. As many know, 🇸🇪 took the careless “herd” strategy in spring to let the coronavirus run rampant. Huge #COVID19 deaths compared to its Nordic neighbors. But Swedish leaders claim they built herd &amp; will win in 2nd wave. Here is how it’s going: https://t.co/6Ofmn7eGZV	Boozer Vandiemen	jamesleonbest	2020-11-14T18:54:56.000Z	Sat Nov 14 18:54:56 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Retweet		1	0	photo	https://pbs.twimg.com/media/EmtFLVgXEAAJOlH.jpg			
1327686468396052480	@GadflyHannah @realchrisrufo Perhaps actually check to see if what I say is wrong before posting! Study after study #Science had found a connection to low vitD&amp; more severe Covid symptoms. This isn’t new info. VitD &amp; Zinc are essential for immunity. https://t.co/xiSO7YOdZV	Philosophy4Life	Philosophy4Lif	2020-11-14T18:54:55.000Z	Sat Nov 14 18:54:55 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Reply	https://www.endocrine.org/news-and-advocacy/news-room/2020/study-finds-over-80-percent-of-covid19-patients-have-vitamin-d-deficiency 	1	2					
1327686468190539779	RT @DrEricDing : 4) Folks—my biggest fear isn’t the actual beds, it’s the PTSD and destruction of our doctors and nurses if all this pandemic continues with such raging surge of hospitalizations and #COVID19 deaths. It’s one thing if it’s a one week crisis. It’s whole another if for 2-3 months.	Milan Chakraborty	tajmilan	2020-11-14T18:54:55.000Z	Sat Nov 14 18:54:55 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	Retweet		1	0					
1327686467611545600	RT @DrEricDing : 📍El Paso, TX is so understaffed they are using inmates to help move deceased #COVID19 patients to the mobile overflow morgues. https://t.co/4KRXYBCdWo	cindy rodriguez	cindyrod22	2020-11-14T18:54:55.000Z	Sat Nov 14 18:54:55 +0000 2020	0	0	en	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	Retweet		1	0	photo	https://pbs.twimg.com/media/EmyU7mlXEAEp3ko.jpg	https://pbs.twimg.com/media/EmyU7nYWMAERkIz.jpg		
